game no.,winner name,KO counts,Damage percentages
18,sivad,Thomato:2 LONG:9 rupa:1 curt:1 raki:0,Thomato:326 LONG:1134 rupa:699 curt:1123 raki:496
19,curt,LONG:14 BEEF:0 sivad:1 rupa:8 raki:11 curt:5,LONG:1568 BEEF:1117 sivad:638 rupa:605 raki:918 curt:738
20,postmabone,LONG:0 BEEF:0 sivad:2,LONG:302 BEEF:0 sivad:654
21,postmabone,rupa:17 curt:18 BEEF:8 postmabone:21 Thomato:0 sivad:20 LONG:0 raki:7,rupa:1757 curt:1234 BEEF:194 postmabone:1269 Thomato:1864 sivad:1238 LONG:1445 raki:644
22,BEEF,curt:4 LONG:7 sivad:7 rupa:0 Thomato:12,curt:817 LONG:1095 sivad:696 rupa:101 Thomato:42
23,sivad,curt:11 sivad:0 postmabone:13 BEEF:18 LONG:7 Thomato:10 rupa:1,curt:870 sivad:1020 postmabone:1771 BEEF:898 LONG:1281 Thomato:512 rupa:0
24,BEEF,LONG:12 BEEF:8 curt:2 rupa:12 raki:6,LONG:349 BEEF:1309 curt:831 rupa:987 raki:0
25,curt,rupa:15 sivad:6 BEEF:18 raki:9 postmabone:11 curt:9 LONG:13,rupa:471 sivad:289 BEEF:2119 raki:963 postmabone:29 curt:831 LONG:0
26,raki,sivad:1 Thomato:1 rupa:3,sivad:155 Thomato:36 rupa:407
27,sivad,raki:8 BEEF:14 LONG:12 sivad:6 postmabone:9 Thomato:19 curt:15 rupa:8,raki:1130 BEEF:913 LONG:1681 sivad:1194 postmabone:1869 Thomato:1722 curt:0 rupa:1358
28,rupa,postmabone:9 sivad:5 rupa:8 curt:6 LONG:0 raki:12,postmabone:2085 sivad:1167 rupa:563 curt:621 LONG:1666 raki:0
29,Thomato,postmabone:3 sivad:3 curt:1 Thomato:3 BEEF:3 raki:10,postmabone:425 sivad:1289 curt:357 Thomato:615 BEEF:83 raki:367
30,BEEF,postmabone:7 Thomato:6 rupa:11 BEEF:6 sivad:14 LONG:18 raki:15,postmabone:744 Thomato:1305 rupa:1357 BEEF:988 sivad:32 LONG:1164 raki:1172
31,BEEF,Thomato:7 raki:3 rupa:16 BEEF:8 postmabone:10 curt:6 LONG:9,Thomato:0 raki:0 rupa:1041 BEEF:911 postmabone:1802 curt:1051 LONG:1184
32,Thomato,raki:9 LONG:4 sivad:8 postmabone:9,raki:672 LONG:384 sivad:923 postmabone:619
33,curt,BEEF:2 Thomato:3,BEEF:235 Thomato:107
34,sivad,sivad:0 postmabone:8 LONG:8 raki:5 Thomato:15 curt:0,sivad:282 postmabone:1128 LONG:954 raki:165 Thomato:1136 curt:1216
35,rupa,postmabone:17 raki:14 BEEF:6 Thomato:18 sivad:18 curt:3 rupa:6,postmabone:1440 raki:212 BEEF:1703 Thomato:965 sivad:693 curt:1634 rupa:1514
36,sivad,postmabone:4 LONG:6 rupa:4 BEEF:0,postmabone:611 LONG:500 rupa:256 BEEF:546
37,Thomato,Thomato:2 BEEF:1,Thomato:131 BEEF:290
38,BEEF,raki:2 LONG:12 rupa:4 postmabone:5 curt:0,raki:438 LONG:0 rupa:398 postmabone:540 curt:110
39,postmabone,rupa:5 postmabone:5 BEEF:4,rupa:262 postmabone:197 BEEF:346
40,Thomato,Thomato:17 BEEF:0 sivad:1 LONG:0 curt:1 raki:3 postmabone:10,Thomato:1528 BEEF:0 sivad:236 LONG:605 curt:817 raki:635 postmabone:650
41,BEEF,sivad:15 rupa:11 Thomato:21 curt:14 LONG:8 postmabone:16 BEEF:21 raki:7,sivad:0 rupa:1024 Thomato:957 curt:157 LONG:135 postmabone:1757 BEEF:2001 raki:144
42,sivad,curt:2 rupa:0,curt:10 rupa:62
43,postmabone,sivad:2 BEEF:7 LONG:0 curt:7,sivad:573 BEEF:0 LONG:825 curt:593
44,postmabone,postmabone:1 rupa:6 Thomato:4 raki:2 curt:14 BEEF:10 LONG:6,postmabone:813 rupa:294 Thomato:1477 raki:1200 curt:1712 BEEF:1355 LONG:1768
45,Thomato,sivad:4 postmabone:0 BEEF:2,sivad:394 postmabone:0 BEEF:632
46,BEEF,Thomato:2 LONG:2,Thomato:103 LONG:375
47,sivad,postmabone:1 rupa:0,postmabone:31 rupa:48
48,raki,rupa:17 postmabone:16 raki:7 curt:15 LONG:5 BEEF:6 sivad:4,rupa:465 postmabone:1676 raki:398 curt:766 LONG:744 BEEF:1001 sivad:1502
49,postmabone,rupa:2 raki:0 postmabone:5,rupa:165 raki:282 postmabone:219
50,LONG,BEEF:1 curt:1,BEEF:229 curt:142
51,rupa,rupa:1 BEEF:1 LONG:7 postmabone:3,rupa:205 BEEF:240 LONG:440 postmabone:34
52,rupa,raki:12 sivad:0 Thomato:11 rupa:5 BEEF:11 LONG:7 curt:13,raki:482 sivad:259 Thomato:346 rupa:871 BEEF:903 LONG:536 curt:1278
53,BEEF,Thomato:0 BEEF:2 rupa:3,Thomato:0 BEEF:58 rupa:0
54,curt,Thomato:12 curt:3 raki:8 sivad:0 rupa:12 BEEF:15,Thomato:1181 curt:1610 raki:462 sivad:175 rupa:616 BEEF:951
55,rupa,curt:6 sivad:13 LONG:6 BEEF:9 raki:20 Thomato:8 rupa:11 postmabone:7,curt:2842 sivad:1087 LONG:864 BEEF:1771 raki:1487 Thomato:1590 rupa:540 postmabone:0
56,sivad,Thomato:9 curt:4 raki:7 postmabone:3,Thomato:458 curt:323 raki:719 postmabone:989
57,postmabone,rupa:11 Thomato:9 LONG:6 postmabone:3 BEEF:10,rupa:1272 Thomato:301 LONG:152 postmabone:784 BEEF:969
58,raki,BEEF:17 raki:18 rupa:8 postmabone:10 sivad:7 curt:0 Thomato:6,BEEF:830 raki:609 rupa:251 postmabone:625 sivad:369 curt:970 Thomato:1425
59,sivad,curt:4 Thomato:0 BEEF:3,curt:317 Thomato:13 BEEF:0
60,rupa,rupa:1 sivad:4 Thomato:4,rupa:497 sivad:366 Thomato:227
61,LONG,postmabone:6 sivad:18 raki:9 LONG:5 BEEF:21 Thomato:14 rupa:15 curt:15,postmabone:1078 sivad:306 raki:239 LONG:1088 BEEF:1381 Thomato:1188 rupa:306 curt:1108
62,LONG,LONG:9 raki:13 postmabone:8 sivad:7 Thomato:4 rupa:9 BEEF:18,LONG:576 raki:833 postmabone:697 sivad:1270 Thomato:359 rupa:1220 BEEF:1375
63,postmabone,BEEF:2 postmabone:1,BEEF:199 postmabone:60
64,LONG,postmabone:4 Thomato:1 sivad:1,postmabone:252 Thomato:202 sivad:554
65,rupa,sivad:16 postmabone:4 curt:8 Thomato:14 BEEF:8 LONG:17 rupa:1,sivad:810 postmabone:1358 curt:1621 Thomato:215 BEEF:1557 LONG:767 rupa:1533
66,rupa,curt:9 BEEF:8 Thomato:4 raki:5,curt:943 BEEF:665 Thomato:585 raki:1287
67,sivad,postmabone:1 curt:7 BEEF:0 sivad:7 Thomato:8,postmabone:800 curt:29 BEEF:748 sivad:440 Thomato:821
68,BEEF,rupa:14 sivad:18 BEEF:0 Thomato:0 raki:0 curt:0 LONG:18,rupa:874 sivad:453 BEEF:1686 Thomato:281 raki:1329 curt:1154 LONG:173
69,raki,rupa:2 LONG:1,rupa:303 LONG:216
70,rupa,BEEF:2 raki:5 curt:0,BEEF:233 raki:414 curt:237
71,curt,Thomato:2 curt:3,Thomato:45 curt:160
72,BEEF,postmabone:0 LONG:2 curt:2,postmabone:256 LONG:345 curt:375
73,sivad,curt:10 sivad:12 rupa:9 postmabone:12 raki:3,curt:592 sivad:764 rupa:785 postmabone:528 raki:1314
74,curt,curt:1 Thomato:2,curt:206 Thomato:158
75,LONG,LONG:7 curt:21 rupa:20 Thomato:3 BEEF:11 raki:8 sivad:0 postmabone:2,LONG:1651 curt:1277 rupa:832 Thomato:413 BEEF:794 raki:1840 sivad:899 postmabone:879
76,rupa,curt:3 raki:6 rupa:4,curt:432 raki:272 rupa:239
77,LONG,Thomato:5 LONG:7 BEEF:8 rupa:9,Thomato:292 LONG:779 BEEF:337 rupa:593
78,rupa,postmabone:9 Thomato:21 raki:13 LONG:0 BEEF:4 rupa:13 sivad:12 curt:7,postmabone:942 Thomato:1984 raki:639 LONG:256 BEEF:0 rupa:2235 sivad:1936 curt:1579
79,rupa,curt:7 raki:10 sivad:4 Thomato:11 postmabone:7 LONG:3,curt:921 raki:1163 sivad:1160 Thomato:449 postmabone:1008 LONG:510
80,BEEF,raki:5 sivad:4 postmabone:4,raki:570 sivad:145 postmabone:662
81,sivad,curt:2 Thomato:0,curt:154 Thomato:98
82,BEEF,BEEF:6 sivad:6 raki:12 LONG:8 curt:11,BEEF:27 sivad:680 raki:1070 LONG:909 curt:368
83,raki,rupa:0 curt:6 LONG:2,rupa:324 curt:178 LONG:312
84,postmabone,postmabone:13 LONG:17 raki:11 sivad:17 Thomato:21 BEEF:17 rupa:8 curt:4,postmabone:585 LONG:1084 raki:1601 sivad:1319 Thomato:1182 BEEF:1313 rupa:517 curt:698
85,curt,curt:5 postmabone:3 sivad:3,curt:624 postmabone:266 sivad:404
86,sivad,Thomato:12 raki:21 curt:0 sivad:12 postmabone:15 LONG:1 rupa:21 BEEF:21,Thomato:1145 raki:787 curt:1829 sivad:1153 postmabone:1406 LONG:1414 rupa:1231 BEEF:1426
87,rupa,Thomato:6 LONG:4 raki:7 sivad:12 BEEF:5,Thomato:0 LONG:477 raki:637 sivad:333 BEEF:88
88,sivad,postmabone:21 curt:5 sivad:9 LONG:4 BEEF:18 Thomato:10 raki:8 rupa:4,postmabone:1194 curt:1216 sivad:1492 LONG:269 BEEF:1460 Thomato:902 raki:2066 rupa:1082
89,sivad,Thomato:5 LONG:5 raki:1,Thomato:213 LONG:366 raki:193
90,sivad,Thomato:0 BEEF:3 LONG:4,Thomato:0 BEEF:0 LONG:340
91,postmabone,curt:20 postmabone:3 LONG:12 raki:21 rupa:17 BEEF:19 Thomato:21 sivad:12,curt:1489 postmabone:870 LONG:789 raki:1587 rupa:1240 BEEF:894 Thomato:947 sivad:0
92,BEEF,rupa:17 curt:14 sivad:0 LONG:15 BEEF:18 Thomato:14 raki:10,rupa:226 curt:61 sivad:649 LONG:1176 BEEF:1051 Thomato:2595 raki:1078
93,curt,postmabone:3 Thomato:1,postmabone:87 Thomato:86
94,sivad,rupa:3 raki:6 sivad:18 postmabone:16 BEEF:17 curt:6 LONG:2 Thomato:15,rupa:785 raki:1227 sivad:1290 postmabone:892 BEEF:1853 curt:968 LONG:310 Thomato:0
95,raki,BEEF:9 raki:3 sivad:10 Thomato:6 postmabone:0,BEEF:595 raki:633 sivad:15 Thomato:274 postmabone:844
96,BEEF,LONG:2 raki:4 BEEF:5,LONG:516 raki:538 BEEF:464
97,curt,BEEF:3 sivad:4 raki:5 Thomato:12 postmabone:6,BEEF:724 sivad:0 raki:564 Thomato:360 postmabone:820
98,BEEF,BEEF:3 Thomato:7 sivad:6 LONG:1,BEEF:537 Thomato:208 sivad:382 LONG:381
99,sivad,curt:11 raki:13 rupa:5 BEEF:9 LONG:2 Thomato:16 postmabone:7,curt:1250 raki:1563 rupa:569 BEEF:472 LONG:273 Thomato:2085 postmabone:578
100,curt,curt:0 LONG:6 BEEF:4 sivad:4,curt:69 LONG:292 BEEF:795 sivad:236
101,raki,BEEF:3 LONG:2,BEEF:219 LONG:116
102,Thomato,rupa:4 BEEF:4 Thomato:7 postmabone:6,rupa:138 BEEF:770 Thomato:479 postmabone:632
103,raki,curt:11 sivad:8 postmabone:11 BEEF:12 rupa:6 Thomato:5 LONG:12 raki:13,curt:1237 sivad:1861 postmabone:981 BEEF:692 rupa:1381 Thomato:1524 LONG:1532 raki:0
104,rupa,curt:2 rupa:1,curt:156 rupa:17
105,LONG,rupa:5 LONG:4 sivad:6 postmabone:12 BEEF:5,rupa:497 LONG:1004 sivad:226 postmabone:384 BEEF:0
106,Thomato,Thomato:15 BEEF:0 postmabone:8 rupa:6 LONG:6 raki:12,Thomato:0 BEEF:588 postmabone:1140 rupa:296 LONG:818 raki:433
107,curt,raki:5 rupa:5 LONG:4,raki:128 rupa:367 LONG:237
108,curt,sivad:16 Thomato:3 curt:2 LONG:5 rupa:12 postmabone:14 BEEF:0,sivad:897 Thomato:990 curt:943 LONG:1260 rupa:1358 postmabone:939 BEEF:1790
109,raki,Thomato:7 curt:20 LONG:7 raki:21 rupa:14 BEEF:15 sivad:13 postmabone:6,Thomato:1583 curt:1352 LONG:259 raki:194 rupa:1701 BEEF:1182 sivad:1136 postmabone:674
110,LONG,LONG:1 Thomato:1,LONG:154 Thomato:98
111,curt,postmabone:13 sivad:10 Thomato:7 raki:8 curt:7 rupa:21 BEEF:10 LONG:7,postmabone:2147 sivad:612 Thomato:1633 raki:0 curt:1536 rupa:1357 BEEF:356 LONG:226
112,raki,curt:1 LONG:9 raki:5 BEEF:2 rupa:8,curt:46 LONG:966 raki:437 BEEF:610 rupa:272
113,sivad,LONG:4 curt:1 rupa:0 sivad:12 Thomato:5 postmabone:12 BEEF:11 raki:8,LONG:2423 curt:1070 rupa:308 sivad:1060 Thomato:0 postmabone:596 BEEF:321 raki:958
114,LONG,Thomato:5 BEEF:4 raki:14 postmabone:2 rupa:10 LONG:12 curt:8,Thomato:1521 BEEF:1479 raki:866 postmabone:997 rupa:149 LONG:566 curt:622
115,raki,sivad:16 rupa:6 BEEF:0 LONG:11 raki:12 curt:19 postmabone:9 Thomato:21,sivad:973 rupa:376 BEEF:196 LONG:0 raki:648 curt:639 postmabone:1320 Thomato:788
116,rupa,LONG:0 rupa:1,LONG:89 rupa:184
117,raki,raki:1 Thomato:2,raki:122 Thomato:230
118,LONG,BEEF:0 Thomato:6 LONG:4 postmabone:0 curt:0 rupa:10 sivad:14,BEEF:1390 Thomato:363 LONG:249 postmabone:1028 curt:579 rupa:1338 sivad:1657
119,raki,raki:16 BEEF:6 rupa:3 curt:4 Thomato:9 postmabone:11 LONG:8,raki:675 BEEF:1749 rupa:1068 curt:1725 Thomato:953 postmabone:852 LONG:741
120,postmabone,BEEF:0 curt:8 sivad:2 raki:3,BEEF:421 curt:0 sivad:350 raki:681
121,sivad,BEEF:9 LONG:8 rupa:2 raki:0 curt:5,BEEF:869 LONG:590 rupa:956 raki:466 curt:813
122,Thomato,postmabone:10 BEEF:8 rupa:11 sivad:3 curt:4,postmabone:0 BEEF:1284 rupa:870 sivad:647 curt:1034
123,rupa,LONG:3 raki:7 postmabone:0 BEEF:9 curt:21 rupa:19 sivad:14 Thomato:12,LONG:665 raki:746 postmabone:1337 BEEF:287 curt:1053 rupa:1697 sivad:1686 Thomato:557
124,postmabone,postmabone:8 Thomato:10 curt:13 sivad:2 rupa:5 LONG:0 BEEF:8,postmabone:913 Thomato:1428 curt:1863 sivad:885 rupa:1174 LONG:1303 BEEF:1190
125,Thomato,postmabone:4 curt:1 BEEF:4,postmabone:362 curt:83 BEEF:479
126,raki,BEEF:0 curt:9 sivad:0 raki:14 postmabone:11 Thomato:11 LONG:4 rupa:18,BEEF:0 curt:1826 sivad:1042 raki:1457 postmabone:1251 Thomato:1568 LONG:1343 rupa:873
127,BEEF,LONG:3 curt:2 BEEF:1 raki:3 postmabone:4 sivad:0 Thomato:8,LONG:200 curt:154 BEEF:0 raki:1266 postmabone:706 sivad:3 Thomato:497
128,postmabone,LONG:1 Thomato:7 BEEF:5 curt:0,LONG:22 Thomato:388 BEEF:531 curt:388
129,raki,BEEF:5 Thomato:2 postmabone:5 rupa:8,BEEF:29 Thomato:19 postmabone:0 rupa:498
130,raki,BEEF:1 curt:2 raki:4,BEEF:468 curt:0 raki:187
131,sivad,LONG:3 BEEF:0 Thomato:5 curt:2 sivad:0,LONG:1375 BEEF:463 Thomato:63 curt:715 sivad:329
132,curt,sivad:6 raki:11 Thomato:10 LONG:8 rupa:11,sivad:1022 raki:127 Thomato:717 LONG:1402 rupa:378
133,Thomato,rupa:8 sivad:10 curt:13 BEEF:3 postmabone:15 Thomato:1,rupa:794 sivad:972 curt:700 BEEF:259 postmabone:0 Thomato:960
134,postmabone,sivad:2 raki:3 BEEF:5,sivad:147 raki:443 BEEF:384
135,sivad,raki:4 LONG:4 Thomato:9 sivad:4,raki:597 LONG:194 Thomato:30 sivad:410
136,sivad,rupa:7 BEEF:8 raki:6 curt:8 sivad:0 LONG:10,rupa:293 BEEF:535 raki:1742 curt:0 sivad:849 LONG:1391
137,LONG,postmabone:5 Thomato:2 raki:8 rupa:1 LONG:5,postmabone:759 Thomato:1247 raki:881 rupa:128 LONG:693
138,curt,rupa:1 sivad:2,rupa:78 sivad:96
139,Thomato,LONG:11 BEEF:10 raki:8 rupa:13 Thomato:17 curt:0 postmabone:18,LONG:0 BEEF:735 raki:279 rupa:0 Thomato:685 curt:2554 postmabone:26
140,raki,rupa:0 raki:0,rupa:58 raki:301
141,sivad,Thomato:6 curt:7 raki:3 BEEF:0 rupa:12,Thomato:69 curt:367 raki:1008 BEEF:679 rupa:911
142,rupa,BEEF:1 sivad:4 rupa:5,BEEF:437 sivad:440 rupa:362
143,LONG,LONG:6 Thomato:6 curt:5 raki:12 BEEF:9 sivad:4,LONG:683 Thomato:647 curt:346 raki:1488 BEEF:471 sivad:1127
144,raki,postmabone:2 rupa:2,postmabone:30 rupa:165
145,sivad,BEEF:8 LONG:0 raki:4 postmabone:4,BEEF:296 LONG:229 raki:283 postmabone:72
146,curt,BEEF:8 Thomato:18 postmabone:10 rupa:8 sivad:0 curt:4 raki:12 LONG:11,BEEF:2151 Thomato:96 postmabone:529 rupa:1162 sivad:1135 curt:1356 raki:278 LONG:732
147,Thomato,sivad:3 raki:2,sivad:152 raki:0
148,postmabone,curt:1 sivad:1,curt:146 sivad:185
149,sivad,LONG:2 Thomato:3,LONG:240 Thomato:106
150,raki,postmabone:7 curt:2 sivad:3 Thomato:7,postmabone:407 curt:459 sivad:215 Thomato:476
151,curt,Thomato:12 BEEF:11 raki:0 postmabone:11 rupa:13 curt:8,Thomato:0 BEEF:183 raki:1035 postmabone:1418 rupa:1621 curt:1289
152,raki,postmabone:12 sivad:4 Thomato:7 raki:14 curt:12 rupa:9 LONG:3,postmabone:1023 sivad:1142 Thomato:516 raki:1427 curt:836 rupa:1288 LONG:1600
153,postmabone,LONG:4 raki:8 Thomato:3 BEEF:4 postmabone:10 curt:9,LONG:1756 raki:1515 Thomato:943 BEEF:450 postmabone:1281 curt:671
154,BEEF,LONG:0 curt:1 Thomato:5 postmabone:1 BEEF:9 sivad:9,LONG:210 curt:1227 Thomato:935 postmabone:1070 BEEF:634 sivad:683
155,raki,sivad:8 rupa:2 Thomato:7 postmabone:6 raki:15 curt:10,sivad:819 rupa:0 Thomato:173 postmabone:828 raki:1220 curt:1598
156,LONG,rupa:7 curt:4 LONG:3 postmabone:1,rupa:934 curt:343 LONG:402 postmabone:169
157,BEEF,sivad:9 LONG:6 curt:4 raki:2,sivad:626 LONG:167 curt:391 raki:560
158,Thomato,curt:1 postmabone:1,curt:0 postmabone:120
159,sivad,postmabone:1 Thomato:0 LONG:6,postmabone:606 Thomato:252 LONG:559
160,postmabone,curt:2 Thomato:3 postmabone:0,curt:390 Thomato:316 postmabone:182
161,BEEF,sivad:0 BEEF:4 rupa:4 Thomato:5,sivad:654 BEEF:69 rupa:455 Thomato:298
162,LONG,raki:2 postmabone:0 LONG:0 curt:5 sivad:12,raki:640 postmabone:692 LONG:0 curt:0 sivad:61
163,BEEF,BEEF:6 postmabone:12 Thomato:8 sivad:3 curt:9,BEEF:289 postmabone:289 Thomato:1005 sivad:0 curt:659
164,Thomato,raki:3 sivad:5 Thomato:1 curt:1,raki:560 sivad:600 Thomato:604 curt:0
165,raki,rupa:6 LONG:10 curt:4 raki:1 Thomato:12 sivad:10,rupa:0 LONG:984 curt:1241 raki:1423 Thomato:365 sivad:537
166,Thomato,Thomato:3 raki:0 postmabone:3,Thomato:347 raki:133 postmabone:491
167,curt,curt:7 LONG:6 raki:12 Thomato:1 sivad:4 postmabone:16 BEEF:8 rupa:15,curt:1771 LONG:775 raki:1526 Thomato:183 sivad:945 postmabone:1689 BEEF:1504 rupa:1692
168,postmabone,Thomato:13 postmabone:13 LONG:5 rupa:11 raki:2 sivad:15,Thomato:670 postmabone:1240 LONG:856 rupa:115 raki:916 sivad:722
169,rupa,curt:5 postmabone:4 LONG:9 Thomato:4,curt:274 postmabone:533 LONG:401 Thomato:313
170,sivad,LONG:5 postmabone:4 sivad:1 Thomato:0 curt:4 raki:9,LONG:494 postmabone:215 sivad:916 Thomato:1432 curt:340 raki:1195
171,LONG,postmabone:9 raki:10 BEEF:15 Thomato:15 rupa:5 LONG:8 sivad:17 curt:14,postmabone:1483 raki:993 BEEF:1032 Thomato:2149 rupa:542 LONG:758 sivad:1932 curt:907
172,rupa,LONG:4 BEEF:3 postmabone:0 Thomato:21 raki:21 sivad:21 curt:17 rupa:7,LONG:568 BEEF:2237 postmabone:0 Thomato:587 raki:164 sivad:1844 curt:658 rupa:659
173,rupa,raki:9 curt:13 BEEF:7 postmabone:9 LONG:8 rupa:5 Thomato:18,raki:1040 curt:1162 BEEF:817 postmabone:725 LONG:1230 rupa:1613 Thomato:539
174,postmabone,sivad:4 LONG:2 postmabone:6 rupa:5,sivad:642 LONG:379 postmabone:0 rupa:990
175,raki,sivad:11 curt:7 BEEF:6 Thomato:15 LONG:10 postmabone:15 rupa:13 raki:15,sivad:1628 curt:878 BEEF:1705 Thomato:1558 LONG:1091 postmabone:305 rupa:570 raki:871
176,postmabone,raki:14 sivad:7 rupa:14 curt:8 LONG:13 BEEF:8,raki:548 sivad:824 rupa:925 curt:6 LONG:168 BEEF:287
177,sivad,rupa:10 LONG:3 Thomato:14 BEEF:9 curt:0 sivad:9,rupa:1723 LONG:459 Thomato:1218 BEEF:955 curt:0 sivad:818
178,postmabone,Thomato:6 BEEF:8 sivad:2 LONG:2 raki:3 rupa:9,Thomato:860 BEEF:827 sivad:476 LONG:0 raki:940 rupa:317
179,raki,sivad:9 raki:7 rupa:14 LONG:11 postmabone:10 curt:16 Thomato:17 BEEF:16,sivad:1966 raki:1226 rupa:167 LONG:751 postmabone:1500 curt:1674 Thomato:280 BEEF:632
180,rupa,raki:21 curt:14 sivad:17 rupa:21 Thomato:17 LONG:19 postmabone:17 BEEF:16,raki:0 curt:1799 sivad:677 rupa:1491 Thomato:236 LONG:974 postmabone:1656 BEEF:305
181,postmabone,LONG:2 sivad:2,LONG:69 sivad:235
182,curt,BEEF:10 curt:5 rupa:5 sivad:13 postmabone:12 LONG:8,BEEF:515 curt:473 rupa:297 sivad:643 postmabone:804 LONG:1260
183,raki,BEEF:6 postmabone:14 LONG:1 Thomato:13 rupa:2 sivad:11 raki:11 curt:3,BEEF:788 postmabone:639 LONG:0 Thomato:2103 rupa:635 sivad:1376 raki:1662 curt:1991
184,sivad,BEEF:4 postmabone:4 curt:0,BEEF:297 postmabone:323 curt:123
185,raki,raki:2 postmabone:1,raki:167 postmabone:57
186,rupa,sivad:13 rupa:7 LONG:0 raki:5 postmabone:18 curt:4 Thomato:8,sivad:831 rupa:0 LONG:627 raki:855 postmabone:326 curt:285 Thomato:0
187,Thomato,postmabone:1 rupa:3,postmabone:122 rupa:92
188,raki,raki:6 postmabone:6 LONG:4 rupa:8 curt:15 Thomato:12,raki:769 postmabone:58 LONG:1163 rupa:518 curt:173 Thomato:773
189,sivad,postmabone:12 sivad:8 raki:15 Thomato:5 rupa:13 BEEF:3,postmabone:1542 sivad:5 raki:730 Thomato:18 rupa:1506 BEEF:1202
190,rupa,BEEF:2 sivad:0,BEEF:412 sivad:205
191,curt,rupa:21 curt:10 sivad:7 postmabone:12 BEEF:5 raki:6 Thomato:14 LONG:12,rupa:1467 curt:1218 sivad:34 postmabone:613 BEEF:237 raki:176 Thomato:1130 LONG:1070
192,sivad,curt:6 postmabone:16 LONG:8 rupa:21 raki:6 Thomato:5 sivad:2 BEEF:21,curt:1284 postmabone:0 LONG:489 rupa:992 raki:1449 Thomato:1443 sivad:2492 BEEF:313
193,postmabone,rupa:15 postmabone:6 BEEF:7 raki:4 curt:0 sivad:6,rupa:220 postmabone:467 BEEF:0 raki:827 curt:221 sivad:303
194,postmabone,Thomato:6 sivad:1 raki:0 postmabone:4 LONG:4,Thomato:1125 sivad:683 raki:0 postmabone:1147 LONG:576
195,Thomato,curt:5 BEEF:4 Thomato:1,curt:232 BEEF:301 Thomato:247
196,LONG,BEEF:5 raki:4 sivad:0 LONG:9,BEEF:418 raki:557 sivad:354 LONG:732
197,raki,rupa:1 Thomato:3,rupa:0 Thomato:105
198,rupa,curt:8 sivad:8 rupa:9 raki:1 Thomato:2,curt:0 sivad:1132 rupa:572 raki:465 Thomato:533
199,postmabone,curt:6 BEEF:5 Thomato:5 rupa:3,curt:759 BEEF:160 Thomato:795 rupa:344
200,raki,raki:21 postmabone:20 sivad:8 Thomato:12 curt:9 rupa:21 LONG:9 BEEF:8,raki:2090 postmabone:1060 sivad:1082 Thomato:286 curt:1998 rupa:22 LONG:838 BEEF:424
201,rupa,curt:0 sivad:4 postmabone:8 Thomato:13 BEEF:11 raki:5,curt:182 sivad:995 postmabone:766 Thomato:1247 BEEF:1432 raki:796
202,BEEF,rupa:8 LONG:2 BEEF:15 Thomato:12 curt:6 sivad:2 raki:10,rupa:1531 LONG:278 BEEF:289 Thomato:2225 curt:714 sivad:0 raki:0
203,LONG,Thomato:1 BEEF:1,Thomato:96 BEEF:182
204,sivad,postmabone:12 raki:3 rupa:11 BEEF:3 Thomato:14 curt:12,postmabone:511 raki:142 rupa:1131 BEEF:391 Thomato:1336 curt:759
205,raki,raki:4 postmabone:2 LONG:14 rupa:18 sivad:3 Thomato:6 BEEF:18,raki:1169 postmabone:450 LONG:1321 rupa:430 sivad:630 Thomato:576 BEEF:2470
206,curt,sivad:2 rupa:3 BEEF:2 curt:2,sivad:424 rupa:180 BEEF:861 curt:50
